data;close;volume
29/08/2019;37.14;13868500
30/08/2019;36.17;10959900
02/09/2019;36.49;6704700
03/09/2019;35.76;7310000
04/09/2019;37.08;7775100
05/09/2019;36.58;6975100
06/09/2019;35.88;7792300
09/09/2019;34.09;14217900
10/09/2019;32.39;23810600
11/09/2019;34.49;16284700
12/09/2019;34.88;12527100
13/09/2019;33.99;7663400
16/09/2019;34.76;10564600
17/09/2019;34.74;10286500
18/09/2019;34.94;6341200
19/09/2019;35.69;11455300
20/09/2019;36.44;10609900
23/09/2019;35.87;6100900
24/09/2019;36.65;9370800
25/09/2019;36.6;5583000
26/09/2019;36.45;6887300
27/09/2019;36.68;4018600
30/09/2019;36.92;5121800
01/10/2019;37.33;6416800
02/10/2019;36.38;8794600
03/10/2019;37.18;5756000
04/10/2019;38.65;14806800
07/10/2019;38.27;9793400
08/10/2019;37.94;10590800
09/10/2019;39.58;8861400
10/10/2019;38.87;7520100
11/10/2019;40.43;10891300
14/10/2019;42.1;10942800
15/10/2019;41.73;9503800
16/10/2019;42.69;10237800
17/10/2019;43.1;13273900
18/10/2019;42.93;7066900
21/10/2019;43.03;6131400
22/10/2019;43.65;5904500
23/10/2019;43.42;8056100
24/10/2019;43.18;5919200
25/10/2019;41.93;8044300
28/10/2019;42.6;10444600
29/10/2019;41.08;12255200
30/10/2019;43.95;31866700
31/10/2019;44.56;23855000
01/11/2019;47.11;22914700
04/11/2019;44.89;31343400
05/11/2019;43.97;18187200
06/11/2019;45.12;11794000
07/11/2019;44.12;9778700
08/11/2019;43.74;10639700
11/11/2019;44.94;11163900
12/11/2019;43.33;16359300
13/11/2019;42.43;22822800
14/11/2019;44.17;18068100
18/11/2019;44.9;27655300
19/11/2019;44.44;14932900
21/11/2019;44.92;10712400
22/11/2019;45.41;11996000
25/11/2019;44.22;9077000
26/11/2019;42.97;17986100
27/11/2019;45.52;16283500
28/11/2019;45.52;12047500
29/11/2019;44.95;11377600
02/12/2019;44.84;9853300
03/12/2019;44.51;8611400
04/12/2019;44.0;14590900
05/12/2019;44.81;9759600
06/12/2019;45.32;7553200
09/12/2019;45.77;12761500
10/12/2019;46.52;8437900
11/12/2019;47.5;11267900
12/12/2019;47.75;9065400
13/12/2019;48.99;13658200
16/12/2019;49.22;10686500
17/12/2019;47.8;12119300
18/12/2019;48.45;10302500
19/12/2019;48.54;7519900
20/12/2019;48.51;9185700
23/12/2019;48.66;6502300
26/12/2019;49.01;4849300
27/12/2019;48.65;5924900
30/12/2019;47.62;8087600
02/01/2020;49.28;7400200
03/01/2020;48.84;6684400
06/01/2020;48.88;6839800
07/01/2020;48.74;6704700
08/01/2020;50.23;10001800
09/01/2020;52.02;11030000
10/01/2020;51.74;9371100
13/01/2020;54.17;8576800
14/01/2020;53.94;8295200
15/01/2020;53.6;9241400
16/01/2020;53.4;8378800
17/01/2020;54.29;6046000
20/01/2020;55.94;7405900
21/01/2020;55.85;8064300
22/01/2020;55.63;9015600
23/01/2020;56.52;8184900
24/01/2020;56.09;7518700
27/01/2020;53.74;7523800
28/01/2020;56.93;10356400
29/01/2020;57.23;9949500
30/01/2020;56.44;11075900
31/01/2020;55.74;9695300
03/02/2020;56.47;6141500
04/02/2020;57.6;8218200
05/02/2020;57.24;8621100
06/02/2020;55.77;10291000
07/02/2020;54.17;9770800
10/02/2020;52.32;13012900
11/02/2020;54.21;9488700
